tool	precision	specificity	sensitivity	mcc	norm_mcc	weighted_norm_mcc	tp	fp	tn	fn	mp	mn	scored_p	scored_n	total_p	total_n	F1	weighted_F1	total	correct	nan	fraction_nan	coverage	accuracy	weighted_accuracy	auROC	pr_auROC
CADD-Splice	0.0	1.0	0.0	0.0	0.5	0.5	0	0	50	39	0	0	39	50	39	50	0.0	0.0	89	50	0	0.0	1.0	0.5617977528089888	0.562	0.8866666666666667	0.8251589660065961
SQUIRLS	1.0	1.0	0.20512820512820512	0.356	0.6779999999999999	0.678	8	0	50	31	0	0	39	50	39	50	0.34	0.34	89	58	0	0.0	1.0	0.651685393258427	0.652	0.9061538461538462	0.9052727550864318
HAL	0.0	1.0	0.0	0.0	0.5	0.09	0	0	2	14	25	48	14	2	39	50	0.0	0.0	89	2	73	0.8202247191011236	0.1797752808988764	0.125	0.022		
SPIDEX	1.0	1.0	0.058823529411764705	0.059	0.5295	0.214	2	0	2	32	5	48	34	2	39	50	0.111	0.045	89	4	53	0.5955056179775281	0.4044943820224719	0.1111111111111111	0.045		
dbscSNV	1.0	0.0	0.5	0.0	0.5	0.011	1	0	0	1	37	50	2	0	39	50	0.667	0.015	89	1	87	0.9775280898876404	0.02247191011235955	0.5	0.011		
MaxEntScan	1.0	0.0	0.3333333333333333	0.0	0.5	0.017	1	0	0	2	36	50	3	0	39	50	0.5	0.017	89	1	86	0.9662921348314607	0.033707865168539325	0.3333333333333333	0.011		
SpliceAI	0.9428571428571428	0.9565217391304348	0.8461538461538461	0.813	0.9065	0.866	33	2	44	6	0	4	39	46	39	50	0.892	0.852	89	77	4	0.0449438202247191	0.9550561797752809	0.9058823529411765	0.865	0.9698996655518394	0.9452569042732338
S-CAP	1.0	0.0	0.8	0.0	0.5	0.084	12	0	0	3	24	50	15	0	39	50	0.889	0.15	89	12	74	0.8314606741573034	0.16853932584269662	0.8	0.135		
TraP	0.9444444444444444	0.9761904761904762	0.4358974358974359	0.495	0.7475	0.68	17	1	41	22	0	8	39	42	39	50	0.596	0.543	89	58	8	0.0898876404494382	0.9101123595505618	0.7160493827160493	0.652	0.8363858363858365	0.8358680325382517
ConSpliceML	1.0	1.0	0.8333333333333334	0.854	0.927	0.812	30	0	42	6	3	8	36	42	39	50	0.909	0.797	89	72	11	0.12359550561797752	0.8764044943820225	0.9230769230769231	0.809	0.9748677248677249	0.9483786846323642
MMSplice	0.0	1.0	0.0	0.0	0.5	0.213	0	0	7	31	8	43	31	7	39	50	0.0	0.0	89	7	51	0.5730337078651685	0.42696629213483145	0.18421052631578946	0.079		
kipoiSplice4	1.0	1.0	0.21739130434782608	0.147	0.5735	0.161	5	0	2	18	16	48	23	2	39	50	0.357	0.1	89	7	64	0.7191011235955056	0.2808988764044944	0.28	0.079		
CI-SpliceAI	0.9583333333333334	0.98	0.5897435897435898	0.637	0.8185	0.818	23	1	49	16	0	0	39	50	39	50	0.73	0.73	89	72	0	0.0	1.0	0.8089887640449438	0.809	0.9471794871794871	0.9198959474067442
Pangolin	0.9705882352941176	0.98	0.8461538461538461	0.844	0.9219999999999999	0.922	33	1	49	6	0	0	39	50	39	50	0.904	0.904	89	82	0	0.0	1.0	0.9213483146067416	0.921	0.9671794871794872	0.9395347657071978
SPiP	1.0	1.0	0.23076923076923078	0.38	0.69	0.69	9	0	50	30	0	0	39	50	39	50	0.375	0.375	89	59	0	0.0	1.0	0.6629213483146067	0.663	0.9666666666666667	0.92946961593107
