tool	precision	specificity	sensitivity	mcc	norm_mcc	weighted_norm_mcc	tp	fp	tn	fn	mp	mn	scored_p	scored_n	total_p	total_n	F1	weighted_F1	total	correct	nan	fraction_nan	coverage	accuracy	weighted_accuracy	auROC	average_precision
SQUIRLS	0.5625	0.8526315789473684	0.2903225806451613	0.173	0.5865	0.586	18	14	81	44	0	0	62	95	62	95	0.383	0.383	157	99	0	0.0	1.0	0.6305732484076433	0.631	0.6217317487266554	0.5331201397088624
SpliceAI	0.6785714285714286	0.8085106382978723	0.6333333333333333	0.448	0.724	0.71	38	18	76	22	2	1	60	94	62	95	0.655	0.643	157	114	3	0.01910828025477707	0.9808917197452229	0.7402597402597403	0.726	0.8210992907801419	0.7855684308606443
TraP	0.4875	0.5638297872340425	0.6842105263157895	0.241	0.6205	0.597	39	41	53	18	5	1	57	94	62	95	0.569	0.548	157	92	6	0.03821656050955414	0.9617834394904459	0.609271523178808	0.586	0.5901455767077266	0.4417225195200433
ConSpliceML	0.43283582089552236	0.5421686746987951	0.5576923076923077	0.097	0.5485	0.472	29	38	45	23	10	12	52	83	62	95	0.487	0.419	157	74	22	0.14012738853503184	0.8598726114649682	0.5481481481481482	0.471	0.5977757182576459	0.48381663972248
CI-SpliceAI	0.547945205479452	0.6526315789473685	0.6451612903225806	0.292	0.646	0.646	40	33	62	22	0	0	62	95	62	95	0.593	0.593	157	102	0	0.0	1.0	0.6496815286624203	0.65	0.7424448217317489	0.715758086476977
Pangolin	0.8444444444444444	0.9263157894736842	0.6129032258064516	0.583	0.7915	0.792	38	7	88	24	0	0	62	95	62	95	0.71	0.71	157	126	0	0.0	1.0	0.802547770700637	0.803	0.832597623089983	0.8170983619877592
SPiP	0.47297297297297297	0.5894736842105263	0.5645161290322581	0.151	0.5755	0.576	35	39	56	27	0	0	62	95	62	95	0.515	0.515	157	91	0	0.0	1.0	0.5796178343949044	0.58	0.6135823429541596	0.5180615890350704
AbSplice-DNA	0.6181818181818182	0.776595744680851	0.6071428571428571	0.385	0.6925	0.662	34	21	73	22	6	1	56	94	62	95	0.613	0.585	157	107	7	0.044585987261146494	0.9554140127388535	0.7133333333333334	0.682	0.7437310030395138	0.662618801167071
IntSplice2	0.5	0.9090909090909091	0.2631578947368421	0.22	0.61	0.288	5	5	50	14	43	40	19	55	62	95	0.345	0.163	157	55	83	0.5286624203821656	0.4713375796178344	0.7432432432432432	0.35	0.5244019138755981	0.31776120504432315
SPIDEX	0.21428571428571427	0.8804347826086957	0.06382978723404255	-0.088	0.456	0.404	3	11	81	44	15	3	47	92	62	95	0.098	0.087	157	84	18	0.11464968152866242	0.8853503184713376	0.60431654676259	0.535	0.459990749306198	0.3225736930619837
dbscSNV	0.0	0.0	0.0	0.0	0.5	0.003	0	0	0	1	61	95	1	0	62	95	0.0	0.0	157	0	156	0.9936305732484076	0.006369426751592357	0.0	0.0		
S-CAP	0.5714285714285714	0.8085106382978723	0.5581395348837209	0.369	0.6845	0.597	24	18	76	19	19	1	43	94	62	95	0.565	0.493	157	100	20	0.12738853503184713	0.8726114649681529	0.7299270072992701	0.637		
MMSplice	1.0	1.0	0.021739130434782608	0.121	0.5605	0.503	1	0	95	45	16	0	46	95	62	95	0.043	0.038	157	96	16	0.10191082802547771	0.8980891719745223	0.6808510638297872	0.611	0.725858123569794	0.6233284408671584
kipoiSplice4	0.0	1.0	0.0	0.0	0.5	0.43	0	0	94	41	21	1	41	94	62	95	0.0	0.0	157	94	22	0.14012738853503184	0.8598726114649682	0.6962962962962963	0.599	0.590295796574987	0.43712247482366573
MLCsplice	0.7	0.9454545454545454	0.3684210526315789	0.401	0.7005	0.33	7	3	52	12	43	40	19	55	62	95	0.483	0.228	157	59	83	0.5286624203821656	0.4713375796178344	0.7972972972972973	0.376	0.831578947368421	0.5768495036090251
LaBranchoR	0.47368421052631576	0.574468085106383	0.782608695652174	0.337	0.6685	0.596	36	40	54	10	16	1	46	94	62	95	0.59	0.526	157	90	17	0.10828025477707007	0.89171974522293	0.6428571428571429	0.573	0.7763644773358002	0.6614988528923501
regSNP-intron	0.48	0.8602150537634409	0.22641509433962265	0.111	0.5555	0.517	12	13	80	41	9	2	53	93	62	95	0.308	0.286	157	92	11	0.07006369426751592	0.9299363057324841	0.6301369863013698	0.586	0.6009332521809697	0.41661228185183685
SVM_BP_finder	0.6666666666666666	0.9894736842105263	0.038461538461538464	0.094	0.547	0.512	2	1	94	50	10	0	52	95	62	95	0.073	0.068	157	96	10	0.06369426751592357	0.9363057324840764	0.6530612244897959	0.611	0.5465587044534413	0.4460290412317443
BPP	0.41379310344827586	0.4631578947368421	0.6923076923076923	0.151	0.5755	0.539	36	51	44	16	10	0	52	95	62	95	0.518	0.485	157	80	10	0.06369426751592357	0.9363057324840764	0.54421768707483	0.51	0.6520242914979758	0.5027377467716071
BPHunter	0.7692307692307693	0.4	0.8	0.207	0.6035	0.135	20	6	4	5	37	85	25	10	62	95	0.784	0.175	157	24	122	0.7770700636942676	0.2229299363057325	0.6857142857142857	0.153		
