tool	precision	specificity	sensitivity	mcc	norm_mcc	weighted_norm_mcc	tp	fp	tn	fn	mp	mn	scored_p	scored_n	total_p	total_n	F1	weighted_F1	total	correct	nan	fraction_nan	coverage	accuracy	weighted_accuracy	auROC	average_precision
HAL	0.0	0.0	0.0	0.0	0.5	0.111	0	0	0	16	20	36	16	0	36	36	0.0	0.0	72	0	56	0.7777777777777778	0.2222222222222222	0.0	0.0		
MaxEntScan	0.875	0.9722222222222222	0.19444444444444445	0.265	0.6325000000000001	0.633	7	1	35	29	0	0	36	36	36	36	0.318	0.318	72	42	0	0.0	1.0	0.5833333333333334	0.583	0.5262345679012346	0.5731052121952168
DSSP	0.5517241379310345	0.6388888888888888	0.4444444444444444	0.085	0.5425	0.542	16	13	23	20	0	0	36	36	36	36	0.492	0.492	72	39	0	0.0	1.0	0.5416666666666666	0.542	0.46604938271604934	0.5407433941937555
SpliceRover	0.3333333333333333	0.3333333333333333	0.34285714285714286	-0.324	0.33799999999999997	0.333	12	24	12	23	1	0	35	36	36	36	0.338	0.333	72	24	1	0.013888888888888888	0.9861111111111112	0.3380281690140845	0.333	0.2793650793650793	0.3784996856679446
Spliceator	0.30434782608695654	0.1111111111111111	0.4	-0.512	0.244	0.241	14	32	4	21	1	0	35	36	36	36	0.346	0.341	72	18	1	0.013888888888888888	0.9861111111111112	0.2535211267605634	0.25	0.2738095238095238	0.419788816189202
SQUIRLS	0.45454545454545453	0.0	0.8333333333333334	-0.302	0.349	0.349	30	36	0	6	0	0	36	36	36	36	0.588	0.588	72	30	0	0.0	1.0	0.4166666666666667	0.417	0.2962962962962963	0.37527914334624407
SpliceAI	0.7804878048780488	0.7428571428571429	0.9411764705882353	0.696	0.848	0.813	32	9	26	2	2	1	34	35	36	36	0.853	0.818	72	58	3	0.041666666666666664	0.9583333333333334	0.8405797101449275	0.806	0.9546218487394957	0.9243367094910035
TraP	0.45454545454545453	0.0	0.8571428571428571	-0.279	0.3605	0.355	30	36	0	5	1	0	35	36	36	36	0.594	0.586	72	30	1	0.013888888888888888	0.9861111111111112	0.4225352112676056	0.417	0.2785714285714286	0.4335095055503832
ConSpliceML	0.6744186046511628	0.5625	0.90625	0.499	0.7495	0.666	29	14	18	3	4	4	32	32	36	36	0.773	0.687	72	47	8	0.1111111111111111	0.8888888888888888	0.734375	0.653	0.91015625	0.8957757583750103
CI-SpliceAI	0.8048780487804879	0.7777777777777778	0.9166666666666666	0.701	0.8505	0.85	33	8	28	3	0	0	36	36	36	36	0.857	0.857	72	61	0	0.0	1.0	0.8472222222222222	0.847	0.9421296296296297	0.9234946135622047
Pangolin	0.717391304347826	0.6388888888888888	0.9166666666666666	0.578	0.7889999999999999	0.789	33	13	23	3	0	0	36	36	36	36	0.805	0.805	72	56	0	0.0	1.0	0.7777777777777778	0.778	0.8942901234567902	0.8730214456967803
SPiP	0.6	0.3333333333333333	1.0	0.447	0.7235	0.724	36	24	12	0	0	0	36	36	36	36	0.75	0.75	72	48	0	0.0	1.0	0.6666666666666666	0.667	0.8364197530864197	0.7784350893275013
AbSplice-DNA	0.9615384615384616	0.9714285714285714	0.7575757575757576	0.75	0.875	0.826	25	1	34	8	3	1	33	35	36	36	0.847	0.8	72	59	4	0.05555555555555555	0.9444444444444444	0.8676470588235294	0.819	0.9584415584415584	0.940229125830994
PDIVAS	0.7878787878787878	0.7941176470588235	0.9285714285714286	0.721	0.8605	0.741	26	7	27	2	8	2	28	34	36	36	0.852	0.734	72	53	10	0.1388888888888889	0.8611111111111112	0.8548387096774194	0.736	0.9516806722689075	0.918868518129382
