tool	precision	specificity	sensitivity	mcc	norm_mcc	weighted_norm_mcc	tp	fp	tn	fn	mp	mn	scored_p	scored_n	total_p	total_n	F1	weighted_F1	total	correct	nan	fraction_nan	coverage	accuracy	weighted_accuracy	auROC	average_precision
HAL	1.0	0.0	0.3333333333333333	0.0	0.5	0.005	1	0	0	2	158	161	3	0	161	161	0.5	0.005	322	1	319	0.9906832298136646	0.009316770186335404	0.3333333333333333	0.003		
MaxEntScan	0.9615384615384616	0.9937888198757764	0.15527950310559005	0.274	0.637	0.637	25	1	160	136	0	0	161	161	161	161	0.267	0.267	322	185	0	0.0	1.0	0.5745341614906833	0.575	0.5900235330427067	0.6399441407688983
DSSP	0.4357142857142857	0.5093167701863354	0.37888198757763975	-0.113	0.4435	0.444	61	79	82	100	0	0	161	161	161	161	0.405	0.405	322	143	0	0.0	1.0	0.4440993788819876	0.444	0.37687589213379125	0.4411169819818326
SpliceRover	0.39080459770114945	0.3416149068322981	0.422360248447205	-0.237	0.3815	0.382	68	106	55	93	0	0	161	161	161	161	0.406	0.406	322	123	0	0.0	1.0	0.38198757763975155	0.382	0.35237838046371667	0.47631861782760027
Spliceator	0.31683168316831684	0.14285714285714285	0.39751552795031053	-0.475	0.2625	0.262	64	138	23	97	0	0	161	161	161	161	0.353	0.353	322	87	0	0.0	1.0	0.2701863354037267	0.27	0.20489178658230778	0.34776683941160613
SQUIRLS	0.45517241379310347	0.018633540372670808	0.8198757763975155	-0.27	0.365	0.365	132	158	3	29	0	0	161	161	161	161	0.585	0.585	322	135	0	0.0	1.0	0.4192546583850932	0.419	0.3616758612707843	0.40851043389902925
SpliceAI	0.8432432432432433	0.8079470198675497	0.968944099378882	0.79	0.895	0.867	156	29	122	5	0	10	161	151	161	161	0.902	0.874	322	278	10	0.031055900621118012	0.968944099378882	0.8910256410256411	0.863	0.964666200485377	0.9548436807694561
TraP	0.48220064724919093	0.0	0.93125	-0.189	0.40549999999999997	0.403	149	160	0	11	1	1	160	160	161	161	0.635	0.631	322	149	2	0.006211180124223602	0.9937888198757764	0.465625	0.463	0.35421874999999997	0.4328152199037528
ConSpliceML	0.7523809523809524	0.6231884057971014	0.9875	0.668	0.8340000000000001	0.772	158	52	86	2	1	23	160	138	161	161	0.854	0.79	322	244	24	0.07453416149068323	0.9254658385093167	0.8187919463087249	0.758	0.9579257246376812	0.95730015145092
CI-SpliceAI	0.8066298342541437	0.782608695652174	0.906832298136646	0.695	0.8474999999999999	0.847	146	35	126	15	0	0	161	161	161	161	0.854	0.854	322	272	0	0.0	1.0	0.84472049689441	0.845	0.9226495891362216	0.927325599777093
Pangolin	0.7276995305164319	0.639751552795031	0.9627329192546584	0.637	0.8185	0.818	155	58	103	6	0	0	161	161	161	161	0.829	0.829	322	258	0	0.0	1.0	0.8012422360248447	0.801	0.9456425292234095	0.9444295570359656
SPiP	0.5795918367346938	0.36024844720496896	0.8819875776397516	0.284	0.642	0.642	142	103	58	19	0	0	161	161	161	161	0.7	0.7	322	200	0	0.0	1.0	0.6211180124223602	0.621	0.7372786543729023	0.7723306418401046
AbSplice-DNA	0.9626168224299065	0.9722222222222222	0.7253521126760564	0.721	0.8605	0.764	103	4	140	39	19	17	142	144	161	161	0.827	0.735	322	243	36	0.11180124223602485	0.8881987577639752	0.8496503496503497	0.755	0.9555457746478874	0.9509041516125294
PDIVAS	0.9112426035502958	0.8920863309352518	0.9625	0.86	0.9299999999999999	0.864	154	15	124	6	1	22	160	139	161	161	0.936	0.869	322	278	23	0.07142857142857142	0.9285714285714286	0.9297658862876255	0.863	0.9814298561151079	0.9812179760954622
