tool	precision	specificity	sensitivity	mcc	norm_mcc	weighted_norm_mcc	tp	fp	tn	fn	mp	mn	scored_p	scored_n	total_p	total_n	F1	weighted_F1	total	correct	nan	fraction_nan	coverage	accuracy	weighted_accuracy	auROC	auPRC
CADD-Splice	0.6923076923076923	0.5675675675675675	0.972972972972973	0.591	0.7955	0.796	36	16	21	1	0	0	37	37	37	37	0.809	0.809	74	57	0	0.0	1.0	0.7702702702702703	0.77	0.858290723155588	0.7951332244802808
SQUIRLS	1.0	1.0	0.7027027027027027	0.736	0.868	0.868	26	0	37	11	0	0	37	37	37	37	0.825	0.825	74	63	0	0.0	1.0	0.8513513513513513	0.851	0.918918918918919	0.9201088508728243
SpliceAI	0.8974358974358975	0.8888888888888888	0.9459459459459459	0.837	0.9185	0.906	35	4	32	2	0	1	37	36	37	37	0.921	0.909	74	67	1	0.013513513513513514	0.9864864864864865	0.9178082191780822	0.905	0.9564564564564564	0.9410548980761306
TraP	0.6458333333333334	0.5	0.8378378378378378	0.361	0.6805	0.653	31	17	17	6	0	3	37	34	37	37	0.729	0.7	74	48	3	0.04054054054054054	0.9594594594594594	0.676056338028169	0.649	0.8187599364069952	0.8456520752680499
ConSpliceML	0.9117647058823529	0.9090909090909091	0.9117647058823529	0.821	0.9105	0.824	31	3	30	3	3	4	34	33	37	37	0.912	0.826	74	61	7	0.0945945945945946	0.9054054054054054	0.9104477611940298	0.824	0.9750445632798574	0.9509468757416774
CI-SpliceAI	0.7954545454545454	0.7567567567567568	0.9459459459459459	0.716	0.858	0.858	35	9	28	2	0	0	37	37	37	37	0.864	0.864	74	63	0	0.0	1.0	0.8513513513513513	0.851	0.9459459459459459	0.9250337600149929
Pangolin	0.8947368421052632	0.8918918918918919	0.918918918918919	0.811	0.9055	0.906	34	4	33	3	0	0	37	37	37	37	0.907	0.907	74	67	0	0.0	1.0	0.9054054054054054	0.905	0.9817384952520087	0.9553306777187958
SPiP	0.875	0.8648648648648649	0.9459459459459459	0.813	0.9065	0.906	35	5	32	2	0	0	37	37	37	37	0.909	0.909	74	67	0	0.0	1.0	0.9054054054054054	0.905	0.9452154857560263	0.9092597272226624
PDIVAS	0.9230769230769231	0.9411764705882353	0.96	0.897	0.9485	0.756	24	2	32	1	12	3	25	34	37	37	0.941	0.75	74	56	15	0.20270270270270271	0.7972972972972973	0.9491525423728814	0.757	0.9894117647058823	0.9462420309325859
AbSplice-DNA	0.967741935483871	0.9696969696969697	0.8571428571428571	0.83	0.915	0.841	30	1	32	5	2	4	35	33	37	37	0.909	0.835	74	62	6	0.08108108108108109	0.918918918918919	0.9117647058823529	0.838	0.954978354978355	0.9414357994492878
