VariationID	Tx_id
100076	NM_000110.4
100086	NM_000110.4
100090	NM_000110.4
100091	NM_000110.4
100103	NM_000110.4
100105	NM_000110.4
100109	NM_000110.4
100111	NM_000110.4
100112	NM_000110.4
100117	NM_000110.4
100128	NM_000373.4
100222	NM_000552.5
100257	NM_000552.5
100449	NM_000552.5
10054	NM_000194.3
100578	NM_006017.3
100596	NM_031935.3
100610	NM_206933.4
100670	NM_001382391.1
100751	NM_000211.5
100752	NM_000211.5
100754	NM_000211.5
100756	NM_000211.5
100758	NM_000211.5
100760	NM_000211.5
100763	NM_000211.5
100765	NM_000211.5
100769	NM_012233.3
101034	NM_006767.4
101045	NM_001195518.2
101046	NM_001195518.2
101115	NM_000090.4
101132	NM_000090.4
101209	NM_000090.4
1012178	NM_001099857.5
1012196	NM_004656.4
1012203	NM_000059.4
1012205	NM_144997.7
1012209	NM_002878.4
1012213	NM_000138.5
1012303	NM_001277115.2
1012309	NM_000211.5
1012315	NM_000061.3
1012387	NM_001077350.3
1012398	NM_001042432.2
1012399	NM_001042432.2
1012436	NM_001353214.3
1012468	NM_177559.3
1012511	NM_032380.5
1012514	NM_002890.3
1012618	NM_031263.4
101263	NM_000090.4
1012648	NM_001356.5
101269	NM_000090.4
1012694	NM_001242896.3
1012805	NM_002335.4
1012838	NM_014334.4
101286	NM_000090.4
1012893	NM_021628.3
1012922	NM_003072.5
1012936	NM_001127222.2
1012987	NM_016729.3
1012993	NM_001377.3
1013034	NM_000170.3
1013038	NM_052867.4
1013045	NM_001355436.2
1013091	NM_001134407.3
101312	NM_000090.4
1013131	NM_001042492.3
1013137	NM_032043.3
101314	NM_000090.4
1013142	NM_001127222.2
1013178	NM_015909.4
1013298	NM_000543.5
1013313	NM_182961.4
1013343	NM_152641.4
1013350	NM_001844.5
1013486	NM_001164496.2
1013520	NM_001854.4
1013589	NM_001110556.2
101413	NM_000090.4
101425	NM_000090.4
101440	NM_000090.4
101447	NM_000090.4
101448	NM_000090.4
101485	NM_000090.4
102501	NM_000277.3
102507	NM_000277.3
102508	NM_000277.3
102509	NM_000277.3
102555	NM_000277.3
102556	NM_000277.3
102557	NM_000277.3
102560	NM_000277.3
102565	NM_000277.3
102588	NM_000277.3
102589	NM_000277.3
102590	NM_000277.3
102592	NM_000277.3
102604	NM_000277.3
102605	NM_000277.3
102606	NM_000277.3
102611	NM_000277.3
102654	NM_000277.3
102655	NM_000277.3
102671	NM_000277.3
102672	NM_000277.3
102677	NM_000277.3
102707	NM_000277.3
102712	NM_000277.3
1027424	NM_006946.4
1027441	NM_001195248.2
1027460	NM_182961.4
1027489	NM_000370.3
1027497	NM_001080414.4
1027501	NM_017882.3
1027504	NM_020247.5
102751	NM_000277.3
1027514	NM_207111.4
1027522	NM_000702.4
1027547	NM_031210.6
1027559	NM_022124.6
1027585	NM_000492.4
1027618	NM_014883.4
1027623	NM_001625.4
1027663	NM_012309.5
1027785	NM_001165963.4
1027824	NM_014055.4
1027875	NM_174916.3
1027880	NM_001282225.2
1027906	NM_000218.3
1027907	NM_001360.3
102792	NM_000277.3
102793	NM_000277.3
102794	NM_000277.3
1027944	NM_001567.4
102795	NM_000277.3
1027961	NM_001845.6
1027980	NM_015346.4
1028027	NM_000048.4
1028069	NM_003052.5
1028095	NM_003227.4
1028116	NM_003482.4
1028122	NM_003491.4
1028124	NM_001130987.2
1028159	NM_001386140.1
1028166	NM_020451.3
1028204	NM_001126108.2
1028256	NM_000426.4
1028263	NM_022455.5
1028302	NM_004836.7
1028314	NM_000516.7
1028339	NM_000548.5
1028343	NM_000548.5
1028378	NM_001082971.2
1028452	NM_001371986.1
1028498	NM_006279.5
1028551	NM_006757.4
1028582	NM_000159.4
1028611	NM_000206.3
1028619	NM_000214.3
1028668	NM_000284.4
102869	NM_000277.3
102871	NM_000277.3
102872	NM_000277.3
102873	NM_000277.3
1028780	NM_022786.3
1028792	NM_000489.6
1028796	NM_004628.5
1028824	NM_004946.3
1028835	NM_024649.5
1028839	NM_024666.5
1028850	NM_000628.5
1028854	NM_005084.4
1028856	NM_005097.4
1028857	NM_005101.4
1028860	NM_005120.3
1028865	NM_025074.7
1028871	NM_025114.4
1028894	NM_030650.3
1028896	NM_030653.4
1028901	NM_030773.4
102894	NM_000277.3
1028944	NM_001017420.3
1028959	NM_005908.4
1029072	NM_001267550.2
1029099	NM_001267550.2
1029101	NM_001267550.2
102914	NM_000277.3
102915	NM_000277.3
102918	NM_000277.3
1029182	NM_001351169.2
1029229	NM_153240.5
1029241	NM_005186.4
1029242	NM_001199107.2
1029278	NM_014444.5
1029309	NM_014795.4
1029383	NM_001849.4
1029385	NM_001854.4
1029441	NM_016343.4
1029458	NM_001205254.2
1029470	NM_017534.6
1029499	NM_000135.4
1029506	NM_001330288.2
1029514	NM_018127.7
1029562	NM_031263.4
1029569	NM_016030.6
1029609	NM_016529.6
1029644	NM_000092.5
1029651	NM_002863.5
1029707	NM_182931.3
1029717	NM_018718.3
1029761	NM_001378778.1
1029840	NM_022089.4
1029848	NM_000444.6
1029854	NM_004523.4
1030169	NM_001267550.2
1030275	NM_017662.5
1030294	NM_001386393.1
1030376	NM_014846.4
1030377	NM_014855.3
1030404	NM_001292034.3
1030427	NM_001320.7
1030580	NM_002693.3
1030583	NM_020821.3
1030617	NM_017951.5
1030630	NM_003126.4
1030659	NM_000190.4
1030686	NM_000228.3
1030707	NM_000268.4
1030733	NM_000320.3
1030791	NM_001127453.2
1030834	NM_000512.5
1030893	NM_005219.5
1030964	NM_005763.4
1031032	NM_033109.5
1031033	NM_033116.6
1031128	NM_001367823.1
1031220	NM_001190274.2
1031232	NM_014049.5
1031253	NM_001329943.3
1031259	NM_014264.5
1031266	NM_173551.5
1031421	NM_004434.3
1031443	NM_030653.4
1031721	NM_001011.4
1031879	NM_001353921.2
1031970	NM_001330260.2
1032184	NM_000094.4
1032188	NM_000094.4
1032201	NM_024876.4
1032230	NM_030653.4
1032248	NM_181486.4
1032680	NM_020442.6
1032693	NM_015474.4
1032749	NM_017547.4
1032809	NM_002292.4
1032888	NM_000110.4
1033029	NM_000441.2
1033125	NM_000760.4
1033372	NM_001232.4
1033506	NM_001252024.2
1033577	NM_021942.6
1033752	NM_001163435.3
1033826	NM_016529.6
1033865	NM_001752.4
1033939	NM_002662.5
1034092	NM_001379403.1
1034189	NM_033109.5
1047911	NM_006390.4
1047915	NM_006390.4
1047937	NM_000094.4
1047938	NM_000094.4
1047947	NM_000094.4
1047955	NM_000424.4
1047960	NM_198129.4
1047966	NM_000494.4
1047968	NM_000094.4
1047969	NM_000094.4
1047983	NM_000094.4
1047994	NM_000494.4
1047997	NM_017671.5
1048002	NM_000094.4
1048005	NM_000094.4
1048007	NM_000094.4
1048008	NM_000094.4
1048011	NM_000094.4
1048012	NM_000094.4
1048013	NM_000094.4
